Article_ID,Subject,Predicate,Object
25,CRPD_Article 25,Has Topic ,Health
25,Health,Has Wikidata Code,Q12147
25,Health,Has CRPD Definition,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes; "
25,Health,Has Wikidata Definition,"state of physical, mental and social well-being in the absence of disease and infirmity"
25,Health,Has Wikidata Definition Extension,Equal Standard of Care regardless of disability
25,CRPD_Article 25,Has Subtopic,Rural Areas
,Rural Areas,Mentioned In CRPD Article,25
25,Rural Area,Has Wikidata Definition,geographic area that is located outside towns and cities
25,Rural Area,Has Wikidata Code,Q175185
25,CRPD_Article 25,Has Subtopic,Preventative Measures
,Preventative Measures,Mentioned In CRPD Article,25
25,Preventative Measures,Has CRPD Definition,"Provide those health services needed by persons with disabilities specifically because of their disabilities, including early identification and intervention as appropriate, and services designed to minimize and prevent further disabilities, including among children and older persons "
25,Preventative Measures,Has Wikidata Definition Extension,Provide early identification and intervention 
25,CRPD_Article 25,Has Subtopic,Quality of Care
,Quality of Care,Mentioned In CRPD Article,25
25,Quality of Care,Has Wikidata Code,Q60649344
25,Quality of Care,Requires   Wikidata  Definition Extension ,"Provide persons with disabilities with the same range, quality and standard of health care on the basis of free and informed consent by raising awareness of the human rights, dignity, autonomy and needs of persons with disabilities through training and the promulgation of ethical standards for public and private health care"
25,CRPD_Article 25,Has Subtopic,Human Rights 
,Human Rights ,Mentioned In CRPD Article,25
25,Human Rights,Has Wikidata Code,Q8458
25,CRPD_Article 25,Has Subtopic,Services
,Services ,Mentioned In CRPD Article,25
25,CRPD_Article 25,Has Topic ,Discrimination
25,Discrimination,Has Wikidata Code,Q169207
25,Quality of Care,Requires   Wikidata  Definition Extension ,Prevent discriminatory denial of health care or health services or food and fluids on the basis of disability or capacity. 
25,CRPD_Article 25,Has Subtopic,Equality
,equality ,Mentioned In CRPD Article,25
1,CRPD_Article 1,Has CRPD Text,"The purpose of the present Convention is to promote, protect and ensure the full and equal enjoyment of all human rights and fundamental freedoms by all persons with disabilities, and to promote respect for their inherent dignity. Persons with disabilities include those who have long-term physical, mental, intellectual or sensory impairments which in interaction with various barriers may hinder their full and effective participation in society on an equal basis with others."
1,human rights ,Has Subtopic,human rights 
,Human Rights,Mentioned In CRPD Article,1
1,human rights,Has Wikidata Code,Q8458
1,dignity ,Has Subtopic,dignity 
,dignity ,Mentioned In CRPD Article,1
1,dignity ,Has Wikidata Definition,Quality of being deserving of respect
1,dignity ,Has Wikidata Code,Q274782
1,impairment ,Has Subtopic,impairment 
,impairment ,Mentioned In CRPD Article,1
1,impairment ,Has Wikidata Code,Missing 
1,Barrier ,Has Subtopic,Barrier
,Barrier ,Mentioned In CRPD Article,1
1,Barrier ,Has Wikidata Code,missing 
1,Participation ,Has Subtopic,participation 
,participation ,Mentioned In CRPD Article,1
1,Participation ,Has Wikidata Code,Q1773152
1,Disability ,Has Subtopic,Disability
,disability ,Mentioned In CRPD Article,1
1,Disability ,Has Wikidata Definition,"impairments, activity limitations, and participation restrictions"
2,CRPD_Article 2,Has CRPD Text,"Communication includes languages, display of text, Braille, tactile communication, large print, accessible multimedia as well as written, audio, plain-language, human-reader and augmentative and alternative modes, means and formats of communication, including accessible information and communication technology; ?Language? includes spoken and signed languages and other forms of non spoken languages; ?Discrimination on the basis of disability? means any distinction, exclusion or restriction on the basis of disability which has the purpose or effect of impairing or nullifying the recognition, enjoyment or exercise, on an equal basis with others, of all human rights and fundamental freedoms in the political, economic, social, cultural, civil or any other field. It includes all forms of discrimination, including denial of reasonable accommodation; ?Reasonable accommodation? means necessary and appropriate modification and adjustments not imposing a disproportionate or undue burden, where needed in a particular case, to ensure to persons with disabilities the enjoyment or exercise on an equal basis with others of all human rights and fundamental freedoms; ?Universal design? means the design of products, environments, programmes and services to be usable by all people, to the greatest extent possible, without the need for adaptation or specialized design. ?Universal design? shall not exclude assistive devices for particular groups of persons with disabilities where this is needed."
2,Communication,Has Subtopic,Communication
,communication ,Mentioned In CRPD Article,2
2,communication,Has Wikidata Code,Q11024
2,communication,Has Wikidata Definition ,act of conveying intended meanings from one entity or group to another through the use of mutually understood signs and rules
2,communication,Requires Wikidata Definition Extension,"communication includes languages, display of text, Braille, tactile communication, large print, accessible multimedia as well as written, audio, plain-language, human-reader and augmentative and alternative modes, means and formats of communication, including accessible information and communication technology"
2,impairment ,Has Wikidata Definition,"impairments, activity limitations, and participation restrictions"
2,Braille ,Has Subtopic,Braille
,braille ,Mentioned In CRPD Article,2
2,braille,Has Wikidata Code,Q79894
2,Braille ,Has Wikidata Definition,writing system for blind and visually impaired people
2,Plain Language ,Has Subtopic,plain language 
,plain Language ,Mentioned In CRPD Article,2
2,Plain Language ,Has Wikidata Code,Q1814648
2,Plain Language ,Has Wikidata Definition,"writing designed to ensure the reader understands as quickly, easily, and completely as possible"
2,communication ,Has Subtopic,language
2,Language ,Has Wikidata Code,Q315
2,Language,Has Wikidata Definition,"particular system of communication, usually named for the region or peoples that use it"
2,CRPD_Article 2,Has Wikidata Definition Extension,includes spoken and signed languages and other forms of non spoken languages
2,CRPD_Article 2,Has Subtopic,Discrimination
,Discrimination,Mentioned In CRPD Article,2
2,Discrimination ,Has Wikidata Code,Q169207
2,Discrimination ,Has Wikidata Definition,prejudicial treatment based on membership in a certain group
