Art.No,Subject,Predicate,Object
18,Article 18 ,Has CRPD Text," 1. States Parties shall recognize the rights of persons with disabilities to liberty of movement, to freedom to choose their residence and to a nationality, on an equal basis with others, including by ensuring that persons with disabilities:
a) Have the right to acquire and change a nationality and are not deprived of their nationality arbitrarily or on the basis of disability;
b) Are not deprived, on the basis of disability, of their ability to obtain, possess and utilize documentation of their nationality or other documentation of identification, or to utilize relevant processes such as immigration proceedings, that may be needed to facilitate exercise of the right to liberty of movement;
c) Are free to leave any country, including their own;
d) Are not deprived, arbitrarily or on the basis of disability, of the right to enter their own country.
2. Children with disabilities shall be registered immediately after birth and shall have the right from birth to a name, the right to acquire a nationality and, as far as possible, the right to know and be cared for by their parents.
"
,Discrimination,Mentioned In CRPD Article,2
2,Article 2,Has Wikidata Definition Extension,includes spoken and signed languages and other forms of non spoken languages
2,Article 2,Has Subtopic,Discrimination
,Discrimination,Mentioned In CRPD Article,2
9,Article 9,Has Subtopic,accessibility
18,Article 18 ,Has CRPD Text," 1. States Parties shall recognize the rights of persons with disabilities to liberty of movement, to freedom to choose their residence and to a nationality, on an equal basis with others, including by ensuring that persons with disabilities:
a) Have the right to acquire and change a nationality and are not deprived of their nationality arbitrarily or on the basis of disability;
b) Are not deprived, on the basis of disability, of their ability to obtain, possess and utilize documentation of their nationality or other documentation of identification, or to utilize relevant processes such as immigration proceedings, that may be needed to facilitate exercise of the right to liberty of movement;
c) Are free to leave any country, including their own;
d) Are not deprived, arbitrarily or on the basis of disability, of the right to enter their own country.
2. Children with disabilities shall be registered immediately after birth and shall have the right from birth to a name, the right to acquire a nationality and, as far as possible, the right to know and be cared for by their parents.
"
19,Article 19,Has Subtopic,independent living 
20,Article 20,Has Subtopic,personal mobility 
21,Article 21,Has CRPD Text,"  States Parties shall take all appropriate measures to ensure that persons with disabilities can exercise the right to freedom of expression and opinion, including the freedom to seek, receive and impart information and ideas on an equal basis with others and through all forms of communication of their choice, as defined in article 2 of the present Convention, including by:
a) Providing information intended for the general public to persons with disabilities in accessible formats and technologies appropriate to different kinds of disabilities in a timely manner and without additional cost;
b) Accepting and facilitating the use of sign languages, Braille, augmentative and alternative communication, and all other accessible means, modes and formats of communication of their choice by persons with disabilities in official interactions;
c) Urging private entities that provide services to the general public, including through the Internet, to provide information and services in accessible and usable formats for persons with disabilities;
d) Encouraging the mass media, including providers of information through the Internet, to make their services accessible to persons with disabilities;
e) Recognizing and promoting the use of sign languages.
"
22,Article 22,Has Subtopic,right to privacy 
23,article 23 ,Has Subtopic,respect for home and family 
24,article 24 ,Has Subtopic,education 
24,article 24 ,has CRPD text,"  1. States Parties recognize the right of persons with disabilities to education. With a view to realizing this right without discrimination and on the basis of equal opportunity, States Parties shall ensure an inclusive education system at all levels and lifelong learning directed to:  
a. The full development of human potential and sense of dignity and self-worth, and the strengthening of respect for human rights, fundamental freedoms and human diversity;
b. The development by persons with disabilities of their personality, talents and creativity, as well as their mental and physical abilities, to their fullest potential;
c. Enabling persons with disabilities to participate effectively in a free society.
2. In realizing this right, States Parties shall ensure that:
a) Persons with disabilities are not excluded from the general education system on the basis of disability, and that children with disabilities are not excluded from free and compulsory primary education, or from secondary education, on the basis of disability;
b) Persons with disabilities can access an inclusive, quality and free primary education and secondary education on an equal basis with others in the communities in which they live;
c) Reasonable accommodation of the individual?s requirements is provided;
d) Persons with disabilities receive the support required, within the general education system, to facilitate their effective education;
e) Effective individualized support measures are provided in environments that maximize academic and social development, consistent with the goal of full inclusion.
3. States Parties shall enable persons with disabilities to learn life and social development skills to facilitate their full and equal participation in education and as members of the community. To this end, States Parties shall take appropriate measures, including:
a) Facilitating the learning of Braille, alternative script, augmentative and alternative modes, means and formats of communication and orientation and mobility skills, and facilitating peer support and mentoring;
b) Facilitating the learning of sign language and the promotion of the linguistic identity of the deaf community;
c) Ensuring that the education of persons, and in particular children, who are blind, deaf or deafblind, is delivered in the most appropriate languages and modes and means of communication for the individual, and in environments which maximize academic and social development.
4. In order to help ensure the realization of this right, States Parties shall take appropriate measures to employ teachers, including teachers with disabilities, who are qualified in sign language and/or Braille, and to train professionals and staff who work at all levels of education. Such training shall incorporate disability awareness and the use of appropriate augmentative and alternative modes, means and formats of communication, educational techniques and materials to support persons with disabilities.
5. States Parties shall ensure that persons with disabilities are able to access general tertiary education, vocational training, adult education and lifelong learning without discrimination and on an equal basis with others. To this end, States Parties shall ensure that reasonable accommodation is provided to persons with disabilities.
"
23,article 23 ,Has SubTopic,respect for home and family 
