Article Number,Subject,relation,Attributes,,
25,Crpd Article 25,has topic ,Health,,
25,Crpd Article 25,has wiki data code ,Q1512929,,
25,Crpd Article 25,has subtopic ,equity ,,
25,equity ,has definition,the quality of being fair and impartial.,according to,Disability rights wiki
25,Health,has wikidata code,Q12147,,
25,Health,has text related,"Provide persons with disabilities with the same range, quality and standard of free or affordable health care and programmes as provided to other persons, including in the area of sexual and reproductive health and population-based public health programmes;",has origin,Crpd article 25
25,Health,has definition,"state of physical, mental and social well-being in the absence of disease and infirmity",according to,Wikidata
25,Health,has definition,Equal Standard of Care regardless of disability,according to,Crpd article 25
25,Crpd Article 25,has subtopic,Rural Area,,
,Rural Area,mentioned in,Crpd article 25,,
25,Rural Area,has definition,geographic area that is located outside towns and cities,according to,Wikidata
25,Rural Area,has wikidata code,Q175185,,
25,Crpd Article 25,has subtopic,Preventative Measures,,
,Preventative Measures,mentioned in,Crpd article 25,,
25,Preventative Measures,has text related,"Provide those health services needed by persons with disabilities specifically because of their disabilities, including early identification and intervention as appropriate, and services designed to minimize and prevent further disabilities, including among children and older persons;",has origin,Crpd article 25
25,Preventative Measures,has definition,Provide early identification and intervention,according to,Crpd article 25
25,Crpd Article 25,has subtopic,Quality of Care,,
,Quality of Care,mentioned in,Crpd article 25,,
25,Quality of Care,has wikidata code,Q60649344,,
25,Quality of Care,has definition,"Provide persons with disabilities with the same range, quality and standard of health care on the basis of free and informed consent by raising awareness of the human rights, dignity, autonomy and needs of persons with disabilities through training and the promulgation of ethical standards for public and private health care",according to,Crpd article 25
25,Crpd Article 25,has subtopic,Human Rights ,,
,Human Rights ,mentioned in,Crpd article 25,,
25,Human Rights,has wikidata code,Q8458,,
25,Crpd Article 25,has subtopic,Services,,
,Services ,mentioned in,Crpd article 25,,
25,Crpd Article 25,has topic ,Discrimination,,
25,Discrimination,has wikidata code,Q169207,,
25,Quality of Care,has definition,Prevent discriminatory denial of health care or health services or food and fluids on the basis of disability or capacity.,according to,Crpd article 25
25,Crpd Article 25,has subtopic,Equality,,
,equality ,mentioned in,Crpd article 25,,
1,Crpd Article 1,has text,"The purpose of the present Convention is to promote, protect and ensure the full and equal enjoyment of all human rights and fundamental freedoms by all persons with disabilities, and to promote respect for their inherent dignity. Persons with disabilities include those who have long-term physical, mental, intellectual or sensory impairments which in interaction with various barriers may hinder their full and effective participation in society on an equal basis with others.",,
1,Crpd Article 1,has subtopic ,equity ,,
1,human rights ,has subtopic,human rights ,,
,Human Rights,mentioned in,Crpd article 1,,
1,human rights,has wikidata code,Q8458,,
1,dignity ,has subtopic,dignity ,,
,dignity ,mentioned in,Crpd article 1,,
1,dignity ,has definition,Quality of being deserving of respect,according to,Wikidata
1,dignity ,has wikidata code,Q274782,,
1,impairment ,has subtopic,impairment ,,
,impairment ,mentioned in,Crpd article 1,,
1,impairment ,has wikidata code,Missing ,,
1,impairment ,has definition,a degree of physical or mental impairment,according to,Disability rights wiki
1,Barrier ,has subtopic,Barrier,,
,Barrier ,mentioned in,Crpd article 1,,
1,Barrier ,has wikidata code,missing ,,
1,Barrier,has definition,an obstacle,according to,Disability rights wiki
1,Participation ,has subtopic,participation ,,
,participation ,mentioned in,Crpd article 1,,
1,Participation ,has wikidata code,Q1773152,,
1,Crpd article 1,has subtopic,Disability,,
1,Disability ,has wikidata code,Q12131,,
,disability ,mentioned in,Crpd article 1,,
1,Disability ,has definition,"impairments, activity limitations, and participation restrictions",according to,Wikidata
2,Crpd Article 2,has text,"Communication includes languages, display of text, Braille, tactile communication, large print, accessible multimedia as well as written, audio, plain-language, human-reader and augmentative and alternative modes, means and formats of communication, including accessible information and communication technology; ?Language? includes spoken and signed languages and other forms of non spoken languages; ?Discrimination on the basis of disability? means any distinction, exclusion or restriction on the basis of disability which has the purpose or effect of impairing or nullifying the recognition, enjoyment or exercise, on an equal basis with others, of all human rights and fundamental freedoms in the political, economic, social, cultural, civil or any other field. It includes all forms of discrimination, including denial of reasonable accommodation; ?Reasonable accommodation? means necessary and appropriate modification and adjustments not imposing a disproportionate or undue burden, where needed in a particular case, to ensure to persons with disabilities the enjoyment or exercise on an equal basis with others of all human rights and fundamental freedoms; ?Universal design? means the design of products, environments, programmes and services to be usable by all people, to the greatest extent possible, without the need for adaptation or specialized design. ?Universal design? shall not exclude assistive devices for particular groups of persons with disabilities where this is needed.",,
2,Crpd Article 2,has subtopic ,equity ,,
2,Communication,has subtopic,Communication,,
,communication ,mentioned in,Crpd article 2,,
2,communication,has wikidata code,Q11024,,
2,communication,has definition,act of conveying intended meanings from one entity or group to another through the use of mutually understood signs and rules,according to,Wikidata
2,communication,has definition,"communication includes languages, display of text, Braille, tactile communication, large print, accessible multimedia as well as written, audio, plain-language, human-reader and augmentative and alternative modes, means and formats of communication, including accessible information and communication technology",according to,Crpd article 2
2,impairment ,has definition,"impairments, activity limitations, and participation restrictions",according to,Wikidata
2,Braille ,has subtopic,Braille,,
,braille ,mentioned in,Crpd article 2,,
2,braille,has wikidata code,Q79894,,
2,Braille ,has definition,writing system for blind and visually impaired people,according to,Wikidata
2,Plain Language ,has subtopic,plain language ,,
,plain Language ,mentioned in,Crpd article 2,,
2,Plain Language ,has wikidata code,Q1814648,,
